student_id,semester,sgpa,cgpa,backlogs
STU1001,2,5.92,6.28,0
STU1002,3,8.91,8.63,2
STU1003,2,11.0,8.15,0
STU1004,3,7.13,6.97,2
STU1005,3,8.88,8.56,1
STU1006,3,7.33,7.68,0
STU1007,3,8.24,8.5,0
STU1008,3,9.1,-1.0,0
STU1009,5,7.08,6.52,2
STU1010,4,9.23,8.86,2
STU1011,2,9.22,9.41,-2
STU1012,4,9.13,8.94,0
STU1013,6,6.14,6.83,3
STU1014,3,9.53,8.75,0
STU1015,0,7.38,7.45,0
STU1016,3,6.96,7.42,0
STU1017,2,7.68,8.21,3
STU1018,3,6.55,6.74,3
STU1019,6,6.64,6.92,0
STU1020,3,9.4,8.91,1
STU1021,4,7.08,6.42,2
STU1022,4,6.9,6.9,3
STU1023,5,6.09,6.67,3
STU1024,6,8.38,7.98,1
STU1025,6,7.07,7.52,0
STU1004,3,7.13,6.97,2
