student_id,is_registered,offers_count,package_lpa,status
STU1001,0,0,0.0,Not Eligible
STU1002,1,1,3.5,Placed
STU1003,1,1,6.86,Placed
STU1004,2,0,0.0,Not Eligible
STU1005,0,0,0.0,Not Eligible
STU1006,0,0,0.0,Not Eligible
STU1007,1,-1,0.0,Not Placed
STU1008,0,0,0.0,Not Eligible
STU1009,0,0,0.0,Not Eligible
STU1010,1,2,-5.0,Placed
STU1011,1,0,0.0,Not Placed
STU1012,0,0,0.0,placed 
STU1013,1,1,18.43,Placed
STU1014,1,1,16.96,Placed
STU1015,1,0,0.0,Registered
STU1016,0,0,0.0,Not Eligible
STU1017,0,0,0.0,Not Eligible
STU1018,1,0,0.0,Not Placed
STU1019,0,0,0.0,Not Eligible
STU1020,0,0,0.0,Not Eligible
STU1021,0,0,0.0,Not Eligible
STU1022,0,0,0.0,Not Eligible
STU1023,0,0,0.0,Not Eligible
STU1024,0,0,0.0,Not Eligible
STU1025,0,0,0.0,Not Eligible
STU1003,1,1,6.86,Placed
